name,color
Portuária,#2E0927
Centro,#2E0927
Rio Comprido,#2E0927
São Cristóvão,#2E0927
Ilha de Paquetá,#2E0927
Santa Teresa,#2E0927
Botafogo,#D90000
Copacabana,#D90000
Lagoa,#D90000
Rocinha,#D90000
Jacarezinho,#FF8C00
Complexo da Maré,#FF8C00
Vigário Geral,#FF8C00
Vila Isabel,#FF8C00
Tijuca,#FF8C00
Ramos,#FF8C00
Penha,#FF8C00
Inhaúma,#FF8C00
Méier,#FF8C00
Irajá,#FF8C00
Madureira,#FF8C00
Ilha do Governador,#FF8C00
Anchieta,#FF8C00
Complexo do Alemão,#FF8C00
Pavuna,#FF8C00
Santa Cruz,#04756F
Jacarepaguá,#04756F
Bangu,#04756F
Campo Grande,#04756F
Barra da Tijuca,#04756F
Guaratiba,#04756F
Realengo,#04756F
Cidade de Deus,#04756F
Belford Roxo,#BEDB39
Duque de Caxias,#BEDB39
Guapimirim,#BEDB39
Itaboraí,#BEDB39
Itaguaí,#BEDB39
Japeri,#BEDB39
Magé,#BEDB39
Mangaratiba,#BEDB39
Maricá,#BEDB39
Mesquita,#BEDB39
Nilópolis,#BEDB39
Niterói,#BEDB39
Nova Iguaçu,#BEDB39
Paracambi,#BEDB39
Queimados,#BEDB39
Seropedica,#BEDB39
São Gonçalo,#BEDB39
São João de Meriti,#BEDB39
Tanguá,#BEDB39
FORA_RMRJ,#2A2C2B
